,action,cost,state
0,[-1.],16.0,[ 0.01326297 -0.03428723  0.12866185 -0.33450109]
1,[-1.],15.997528467300134,[ 0.04848965 -0.12748779  0.21328487 -0.57546306]
2,[-1.],15.965665450348697,[ 0.09351391 -0.25359241  0.22373703 -0.65672212]
3,[-1.],15.863058541092713,[ 0.13262552 -0.3783027   0.15601883 -0.56417159]
4,[-0.46267505],15.69103389238936,[ 0.14534674 -0.45235132 -0.03242153 -0.16433694]
5,[-0.27901014],15.54487399389237,[ 0.11764489 -0.43646179 -0.23838086  0.31651668]
6,[-0.27901014],15.544841768764456,[ 0.05434433 -0.33214348 -0.3795188   0.70148946]
7,[1.],15.683065531390366,[-0.04335556 -0.12596641 -0.57245331  1.31229498]
8,[1.],15.87830864569036,[-0.16181437  0.16705385 -0.57724011  1.54560426]
9,[1.],15.895553977744413,[-0.25993205  0.46204228 -0.37466219  1.3399718 ]
10,[1.],15.571331140088597,[-0.30274845  0.6821861  -0.04190712  0.82748142]
11,[1.],15.080746906289361,[-0.27552403  0.78486686  0.30808592  0.19280643]
12,[1.],14.709893505394044,[-0.18480551  0.76100488  0.57970634 -0.4162077 ]
13,[-0.32696184],14.603949762237699,[-0.03764576  0.58665736  0.86189557 -1.28907807]
14,[-0.27895502],14.840463470944817,[ 0.14458415  0.26974376  0.91793199 -1.80485281]
15,[-0.27900997],15.24865793147414,[ 0.31017648 -0.09828091  0.69168373 -1.78231557]
16,[-0.27901014],15.444221893100842,[ 0.40459948 -0.40854134  0.22465883 -1.25687705]
17,[-0.27901014],15.360539120136762,[ 0.39389042 -0.5834987  -0.33208658 -0.47094637]
18,[-0.27901014],15.252938925522068,[ 0.2765071  -0.59462973 -0.81806892  0.34786363]
19,[-0.27901009],15.302485595538853,[ 0.08028356 -0.45577715 -1.10187512  0.99390461]
20,[1.],15.422159393727327,[-0.16081618 -0.18005247 -1.25370397  1.68031247]
21,[1.],15.441453957426866,[-0.39655632  0.17533194 -1.04528222  1.7713883 ]
22,[1.],15.194607330145748,[-0.55782265  0.49115892 -0.52944836  1.31934593]
23,[-1.],14.793165795284036,[-0.57395137  0.62015129  0.36965268 -0.04126884]
24,[-1.],14.735580036287335,[-0.41514368  0.47612627  1.18957181 -1.37330804]
25,[-1.],15.313130468403969,[-0.11697489  0.09427991  1.72416603 -2.33938677]
26,[-1.],15.94332000704558,[ 0.23907781 -0.3980009   1.74435462 -2.42044121]
27,[-1.],15.673325092867623,[ 0.54675831 -0.81675909  1.27005063 -1.67820673]
28,[-1.],14.577010366051768,[ 0.72926604 -1.05018353  0.52789854 -0.6373282 ]
29,[-0.27900997],13.650143523961281,[ 0.74420336 -1.04868164 -0.38058657  0.65138281]
30,[-0.27900408],13.613378840907737,[ 0.58053546 -0.79102207 -1.23373613  1.90934612]
31,[1.],14.547346944917967,[ 0.25076383 -0.26097864 -1.99844051  3.28934046]
32,[1.],15.750349461427989,[-0.17647617  0.44514974 -2.14984213  3.52737225]
33,[1.],15.591381175745378,[-0.56353922  1.0639639  -1.64550837  2.54529699]
34,[1.],13.858857914055806,[-0.81529447  1.44557491 -0.84232148  1.26376853]
35,[-1.],12.204656317723208,[-0.87505797  1.52103964  0.24994348 -0.50242751]
36,[-1.],11.82989585182173,[-0.71602813  1.24168348  1.33085043 -2.30847348]
37,[-1.],13.10015818033903,[-0.35048859  0.59233127  2.28001269 -4.14227397]
38,[-1.],15.288908451240575,[ 0.15413216 -0.33908224  2.60076192 -4.82910776]
39,[-1.],15.769560292775475,[ 0.622471   -1.20101679  1.98555077 -3.62352483]
