,action,cost,state
0,[-0.50952554],12.533740416935267,[ 0.0140129   0.90930378  0.14187197 -0.9042465 ]
1,[-0.91276845],12.982184704717795,[ 0.0624233   0.62887364  0.34101729 -1.88076546]
2,[-0.9523997],14.201382089228847,[ 0.14625269  0.17324666  0.4681592  -2.59482423]
3,[-0.99148929],15.5134909055652,[ 0.23086768 -0.36221383  0.32487628 -2.62844354]
4,[-0.98407181],15.720072838132694,[ 0.25782063 -0.83072123 -0.07626506 -1.98267054]
5,[-0.96544195],14.495382033819661,[ 0.20053376 -1.13995876 -0.47674328 -1.10348947]
6,[-0.988765],12.746418479576407,[ 0.0800695  -1.27791165 -0.69089892 -0.30082725]
7,[-0.9884416],11.297425148954364,[-0.06016178 -1.27335685 -0.67579428  0.31156741]
8,[-0.9677275],10.453894550746975,[-0.17784256 -1.16689549 -0.47738976  0.72229679]
9,[-0.93542364],10.293609078250306,[-0.24477248 -0.99402215 -0.18369612  0.98765961]
10,[-0.87124738],10.864463427951137,[-0.25143372 -0.77536109  0.11245469  1.18956197]
11,[0.95908109],12.153037689256992,[-0.22608611 -0.4632142   0.13068231  1.91659522]
12,[0.95965323],14.034332263362865,[-0.19865248 -0.026098    0.16115906  2.37650199]
13,[0.98916655],15.643473718879745,[-0.14978504  0.44572484  0.354631    2.23837287]
14,[0.99491691],15.565641905546551,[-0.05131022  0.83672615  0.62054588  1.63121195]
15,[0.9969042],13.73279158912063,[0.08704725 1.09579533 0.72307728 0.97919375]
16,[0.98096247],11.387309623936366,[0.22005791 1.24218687 0.56577559 0.52429155]
17,[0.95078685],9.512433394524198,[0.29943885 1.32010402 0.20356429 0.28316247]
18,[0.96706822],8.449340556539145,[ 0.29569024  1.3625021  -0.24234845  0.14113483]
19,[0.9594027],8.232976819137699,[ 0.20675771  1.37036759 -0.62447827 -0.09166167]
20,[0.08354545],8.83499965789019,[ 0.06822135  1.28634085 -0.71662791 -0.79494028]
21,[-0.99055433],10.31840109170507,[-0.04765402  1.00319682 -0.38859259 -2.07858567]
22,[-0.99736707],12.787992980529422,[-0.07064668  0.44734383  0.16140388 -3.43556085]
23,[-0.9909469],15.42439397443197,[-0.00477152 -0.31340988  0.39718059 -3.9468279 ]
24,[-0.99753708],15.600876865801544,[ 0.04706373 -1.04140999  0.07306497 -3.2107334 ]
25,[-0.98746127],12.559537733778804,[ 0.02450376 -1.58496779 -0.26639635 -2.24939351]
26,[-0.9563974],9.060292150692126,[-0.04206559 -1.95951359 -0.35578053 -1.54989444]
27,[-0.97471286],6.66431324165051,[-0.10232126 -2.22642646 -0.21813825 -1.16527836]
28,[-0.79539944],5.323793171415308,[-0.12241614 -2.43718534  0.02776869 -0.97136   ]
29,[-0.67214979],4.653281962745185,[-0.09101574 -2.6203922   0.28056593 -0.87223376]
30,[-0.9273825],4.355452927269249,[-0.0136564  -2.79272089  0.4744892  -0.84955161]
31,[-0.91777092],4.225356795826057,[ 0.08940832 -2.95765054  0.53082213 -0.79228722]
32,[-0.85832783],4.133633514685291,[ 0.18769577 -3.1048839   0.42785059 -0.67258255]
33,[-0.33176141],4.030096457576073,[ 0.24889048  3.06935768  0.16892325 -0.41416819]
34,[-0.05231622],3.9392300689843798,[ 0.24992065  3.0179125  -0.16003501 -0.10601255]
35,[0.24305203],3.9080933008770775,[ 0.1854291   3.02860136 -0.47159357  0.19748564]
36,[0.51034181],3.942129636636599,[ 0.06782334  3.09432739 -0.67863796  0.43740659]
37,[0.58802933],3.9916531126748573,[-0.07418189 -3.08782964 -0.70933846  0.54894894]
38,[0.1761938],3.989839432478623,[-0.20045823 -2.9866718  -0.52517101  0.44252652]
39,[-0.41923947],3.924408881139,[-0.27127186 -2.92936392 -0.16783988  0.11901256]
40,[-0.08880104],3.8619065374379034,[-0.26651082 -2.93508501  0.21400396 -0.175354  ]
41,[0.53823829],3.8671039706535444,[-0.19298756 -2.98432131  0.50512641 -0.30352816]
42,[-0.76468724],3.9286148914957257,[-0.06586712 -3.07442188  0.73757965 -0.57534645]
43,[-0.83129701],3.991334279249577,[ 0.0887965   3.07706941  0.77335545 -0.71821641]
44,[0.41613462],3.985432333343276,[ 0.2217874   2.95495519  0.52647731 -0.48347945]
45,[0.71499691],3.90506417354285,[ 0.28803806  2.89619587  0.1219329  -0.09372894]
46,[0.2758807],3.8404713309100686,[ 0.27090534  2.9106382  -0.28918489  0.23497751]
47,[0.64098645],3.8585803639505203,[ 0.17528213  2.99340788 -0.64554771  0.57706489]
