,action,cost,state
0,[-0.81448071],12.533740416935267,[ 0.65275122  0.81536064  3.21260826 -1.63849408]
1,[0.29923762],8.392144866942854,[ 1.21528118  0.47341841  2.31807063 -1.57880993]
2,[-1.],4.974876283884779,[ 1.57507347  0.19469169  1.25725857 -1.14101365]
3,[-0.99832045],3.233035041716825,[ 1.71628534  0.02650532  0.15662831 -0.53851887]
4,[-0.55953687],2.835438775818875,[ 1.63214436 -0.00611524 -0.99977584  0.21314099]
5,[-1.],3.5475184516037217,[ 1.32206228  0.09597876 -2.0917223   0.79002863]
6,[0.70764411],5.752030292411276,[ 0.78574202  0.34490911 -3.19682566  1.56313135]
7,[0.96615315],9.815278048615534,[ 0.09075742  0.64102591 -3.59024406  1.15495925]
8,[0.96328699],13.986615218415741,[-0.57714826  0.72021532 -2.93736724 -0.46120944]
9,[0.33301649],14.65209433714927,[-1.03279473  0.43587996 -1.58514965 -2.28806729]
10,[-0.88623642],11.152224543540006,[-1.20512463 -0.18096889 -0.20647147 -3.72418394]
11,[-0.78563633],6.457855348396328,[-1.15089063 -0.99095494  0.68641815 -4.28116475]
12,[0.45581961],3.4862835938089742,[-0.95323485 -1.84698788  1.30331893 -4.3089079 ]
13,[0.68489855],2.678956586435311,[-0.62404175 -2.72483061  1.9884896  -4.5132536 ]
14,[-0.77640795],3.3596288930686566,[-0.16567461  2.58042932  2.52630232 -5.35146651]
15,[-0.99126767],5.01324624109134,[ 0.37025301  1.36507222  2.85006104 -6.94734836]
16,[-0.06584824],7.664305503691415,[ 0.95152905 -0.16206467  2.70028515 -7.81703857]
17,[-0.89737756],10.789019878708983,[ 1.31462319 -1.52856925  0.75448358 -5.62266368]
18,[0.61753723],10.436654544130617,[ 1.24004208 -2.40074779 -1.4135236  -3.18124836]
19,[-1.],7.417174032900777,[ 0.80607007 -2.8606491  -2.80306102 -1.51348327]
20,[-0.99272613],4.960457236664338,[ 0.17032349 -3.06343509 -3.41693457 -0.70367616]
21,[-1.],4.065235386636707,[-0.50119054  3.05707678 -3.15134396 -1.14280785]
22,[-1.],4.176666232388588,[-1.03375219  2.68310983 -2.02927498 -2.76725491]
23,[-1.],5.920062965017647,[-1.25179759  1.89917542 -0.00528853 -5.18505574]
24,[-0.64881313],9.680087695438466,[-1.00270427  0.56482195  2.44299149 -8.18602827]
25,[0.99947354],11.85890720440938,[-0.44248433 -1.09163366  2.76572527 -7.67379761]
26,[-1.],8.645721714222208,[ 0.06695312 -2.47330144  2.34750371 -6.28302057]
27,[-1.],5.089953809482799,[ 0.50348627  2.60440153  2.02813614 -5.94879119]
28,[-1.],3.5211538546289827,[ 0.8928418   1.36402396  1.92577087 -6.61995872]
29,[-1.],3.974841114155051,[ 1.27244382 -0.06157189  1.66493835 -7.3230117 ]
30,[-1.],7.002106475817613,[ 1.41788571 -1.34898282 -0.44332039 -5.23572035]
31,[-0.61257312],9.922138139361929,[ 1.0715497  -2.11685831 -2.92796133 -2.42617446]
32,[0.33690989],8.882779584376854,[ 0.31553324 -2.31332416 -4.39167058  0.35908229]
33,[-1.],6.433801454301173,[-0.57430175 -2.06506002 -4.28131496  1.91655901]
34,[-1.],3.853608460010655,[-1.32904812 -1.64069049 -3.17235977  2.094358  ]
35,[0.11635615],1.5728444557140329,[-1.83903157 -1.27749267 -1.92651695  1.40100855]
36,[0.56579622],0.5406425521740335,[-2.10996065 -1.10113791 -0.8010741   0.3181633 ]
37,[-0.50389612],0.23911662066222863,[-2.15384872 -1.18937164  0.35365127 -1.20777441]
38,[-0.80462485],0.22060259158360246,[-1.96575073 -1.58952538  1.53372796 -2.76577971]
39,[0.99999524],0.48942274843004263,[-1.54761772 -2.23722297  2.68030704 -3.67452007]
40,[1.],1.4957894489242738,[-0.88785862 -3.04776103  3.86712849 -4.43994856]
41,[-0.60796232],3.7252688782127596,[-0.04999494  2.20837927  4.33595832 -5.95977943]
42,[-0.87414662],5.9750685627089,[ 0.81095733  0.79943003  4.26833291 -8.11714165]
43,[-0.9999274],7.018388056108534,[ 1.58802144 -0.83776443  3.21634649 -7.58547947]
44,[-0.99998253],7.367366916969147,[ 2.03628701 -2.14373389  1.28415272 -5.62630039]
45,[-0.99992835],6.478917602630333,[ 2.13309604 -3.13902697 -0.17313846 -4.3904753 ]
46,[0.99946479],4.008680257121014,[ 2.00987775  2.40992947 -0.98834702 -2.97619383]
47,[-0.99994127],1.6549962454631937,[ 1.7549414   1.89874896 -1.56786509 -2.19752915]
48,[-0.9998523],0.893356417059469,[ 1.38341793  1.49194257 -2.11820079 -2.01219231]
49,[-0.99975701],1.4920983230370453,[ 0.93533461  1.02076205 -2.26073484 -2.89411991]
50,[-0.99996876],4.918245188626317,[ 0.516921    0.28001412 -1.94153911 -4.42028721]
51,[-1.],12.73238667924452,[ 0.08618723 -0.58525036 -2.55922122 -3.75592633]
52,[-0.99999999],15.010351720624461,[-0.53097778 -1.10778318 -3.47864822 -1.49941592]
53,[0.9999575],7.8086715031690055,[-1.2390229  -1.21202274 -3.40526869  0.17967569]
54,[0.9999639],2.417473145373407,[-1.84328109 -1.13697952 -2.58458706  0.38021479]
55,[-0.99945171],0.5533283840439169,[-2.25240096 -1.16568868 -1.54097855 -0.73513112]
56,[-0.99999099],0.1664170426380061,[-2.47938465 -1.44125707 -0.78927986 -2.01855302]
57,[-0.99974069],0.24978151461020714,[-2.59459909 -1.96464924 -0.43243513 -3.18057307]
58,[-0.99954578],0.9867742743311338,[-2.67279123 -2.6990646  -0.35242448 -4.13185371]
59,[-0.99999975],2.960413119080177,[-2.69992212  2.6725427   0.24909866 -4.9879225 ]
60,[-1.],4.391482160154859,[-2.50929061  1.57596769  1.74575117 -6.07677127]
61,[0.99822263],3.198724499160226,[-2.01065919  0.24124043  3.19026795 -7.269652  ]
62,[-0.99885707],1.8957588395050304,[-1.26292664 -1.27824963  4.16718354 -7.53233519]
63,[0.99835995],2.1842733674913677,[-0.35583538 -2.66126745  4.90974402 -6.38961284]
64,[0.99996061],3.783393193640997,[ 0.62391874  2.37539884  4.62910776 -6.28874219]
65,[0.9984612],3.3185884227646287,[ 1.44761417  1.07159209  3.62746356 -6.70630249]
66,[0.99999961],1.7170991520995305,[ 2.07088247 -0.2281584   2.53022051 -6.03441914]
67,[1.],1.567278698132922,[ 2.43412673 -1.29194083  1.08924638 -4.65106244]
68,[0.99999913],2.740998395292087,[ 2.50320871 -2.11498194 -0.40877816 -3.59188379]
69,[1.],4.505099446480698,[ 2.27218032 -2.71263981 -1.87836158 -2.31623469]
70,[-0.97558767],5.104347232421741,[ 1.77209128 -3.05227399 -3.11446109 -1.03052724]
71,[0.99428252],4.3539073451883,[ 1.01781703 -3.08192645 -4.39304053  0.70445453]
72,[0.99328384],4.209383750748118,[ 0.05485652 -2.79248975 -5.059003    2.11744339]
73,[0.99557213],4.322173853127047,[-0.91583297 -2.26828367 -4.45674901  3.01022769]
74,[1.],2.5922100881542125,[-1.68546502 -1.64430719 -3.21982586  3.08266448]
75,[1.],0.815835310281576,[-2.21630312 -1.08043719 -2.1378493   2.48806818]
76,[-0.98403749],0.168434673455608,[-2.53779616 -0.71877048 -1.11794801  1.12130313]
77,[1.],0.03364150998736628,[-2.70179452 -0.56168927 -0.55312729  0.47700443]
78,[1.],0.01052304699568833,[-2.76748282 -0.51994819 -0.11733041 -0.04718983]
79,[1.],0.00636521217558172,[-2.75032712 -0.58033999  0.29278173 -0.56607675]
80,[1.],0.008722478553970363,[-2.64533484 -0.75430382  0.77779281 -1.20092302]
81,[1.],0.023635686324867514,[-2.42793725 -1.07302235  1.43146303 -2.01264399]
82,[0.97305853],0.09480626141428405,[-2.05595947 -1.56530949  2.33627676 -2.89857372]
83,[1.],0.41796608902194826,[-1.47261157 -2.2166286   3.54332409 -3.55114954]
84,[-0.55834992],1.548221020712438,[-0.62693524 -2.99407951  4.81605337 -4.20493202]
85,[-1.],3.696266409020176,[ 0.36733755  2.35020009  4.87164954 -5.28326018]
86,[-0.97212609],4.087913263695168,[ 1.25885516  1.16383927  4.03757613 -6.52824066]
87,[-0.99999994],2.416081449386159,[ 1.98842875 -0.19192933  3.19519054 -6.72982673]
88,[-0.01844142],1.8785740064743766,[ 2.49106494 -1.40674788  1.8209854  -5.44929004]
89,[-1.],2.7947554342990815,[ 2.73045704 -2.43784975  0.60302382 -4.92355632]
90,[-0.99953623],4.164976852742432,[ 2.77075161  2.89800719 -0.03141867 -4.55957833]
91,[-1.],3.5535315609630036,[ 2.7779185   2.02131473  0.17858462 -4.21175461]
92,[-0.99997583],1.3274241206223651,[ 2.84336517  1.21080954  0.44579296 -3.90637259]
93,[0.99998036],0.18700092447920028,[ 2.91859455  0.51151054  0.2611698  -3.08913576]
94,[-0.99999506],0.004368287805838548,[ 2.96503059 -0.10662279  0.19152901 -3.14961469]
95,[-0.9999984],0.0030665253264554244,[ 2.98645128 -0.76561853 -0.02307574 -3.4514613 ]
96,[-0.99999974],0.16548209192640512,[ 2.9265433  -1.4760998  -0.67743371 -3.58300947]
97,[-0.99999696],1.3066699080863473,[ 2.67196528 -2.15815153 -1.96310191 -3.10098242]
98,[-1.],3.916992733811461,[ 2.12185836 -2.65907775 -3.54666793 -1.76766908]
99,[-0.99999999],5.454759377241728,[ 1.25937341 -2.82341491 -5.03434073  0.18445082]
100,[-0.99999999],5.3507470925047205,[ 0.15109259 -2.58230628 -5.84283477  2.18911605]
101,[-1.],4.975096415411816,[-0.97055299 -1.98390748 -5.15038382  3.62758244]
102,[0.02653941],2.5036779879930235,[-1.87506462 -1.19275872 -3.8978512   4.07572831]
103,[-1.],0.4943841533739192,[-2.54101626 -0.44598608 -2.83451321  3.31224365]
104,[-0.9999977],0.03493732248668841,[-3.04305551  0.13916071 -2.28662553  2.62901817]
105,[0.62788129],0.0010869042411786045,[ 2.76568498  0.7052661  -2.55697092  3.12573989]
106,[0.8526675],0.015270822781907858,[ 2.17815255  1.41574856 -3.40881974  3.96792203]
107,[-0.99998596],0.28075257542077087,[ 1.38218261  2.2260531  -4.62401001  4.0660746 ]
108,[-0.99999955],1.6755070831733543,[ 0.33445971  3.02136403 -5.69412965  3.89832556]
109,[-0.99999977],3.870850261144729,[-0.78323102 -2.46933046 -5.21048445  4.08518204]
110,[-0.99999924],2.940498731256132,[-1.68558652 -1.6474669  -3.78537874  4.00006693]
111,[0.09271097],0.8167359133459536,[-2.32524231 -0.89411156 -2.68021723  3.45457258]
112,[-0.90460975],0.10121101910142993,[-2.77319862 -0.30513331 -1.87040503  2.4674462 ]
113,[-0.99999973],0.004773898765884852,[-3.101027    0.119696   -1.4834265   1.87998953]
114,[-0.99999974],0.00018597076469467922,[ 2.88878239  0.48540177 -1.52027216  1.87159422]
115,[0.61881349],0.0034473751199548745,[ 2.52750337  0.95165503 -2.15560726  2.83578159]
116,[0.73381267],0.05718687824330881,[ 2.00018723  1.6262034  -3.18471928  3.8711708 ]
117,[0.2908828],0.48848050697775747,[ 1.22957024  2.46323003 -4.56130421  4.43201972]
118,[-0.40536383],2.19854769486014,[ 0.20720017 -2.89703104 -5.44157809  4.90847632]
119,[-0.38850294],4.321955530705971,[-0.8305522  -1.80470004 -4.76102464  6.0588083 ]
120,[-0.06054691],3.239794736800777,[-1.68923582 -0.49883266 -3.83917558  6.78878891]
121,[0.99999979],1.6978724779678407,[-2.3573127   0.81599869 -2.78614059  6.15675322]
122,[0.99999999],1.7465763885638825,[-2.80155962  1.96840681 -1.68918388  5.48844718]
123,[0.99999946],2.992215639098171,[-3.05738165  3.05029712 -1.01518392  5.39723982]
124,[-0.45141483],4.014086605462568,[ 3.00229971 -2.16654234 -1.39528888  5.3226843 ]
125,[-0.3781987],2.823413606326161,[ 2.63401043 -1.07267947 -2.32440031  5.725856  ]
126,[-0.99999938],1.289457811401878,[ 2.07182893  0.1395275  -3.28273913  6.35043755]
127,[-0.99999949],0.85012810727148,[ 1.33274228  1.39547938 -4.12021649  6.02485368]
128,[-1.],1.7425058505712905,[ 0.4048607   2.5051436  -5.12448498  5.01793059]
129,[-1.],3.786348632917648,[-0.63814333 -2.86382933 -5.02294706  4.23656477]
130,[-1.],3.4873331953406286,[-1.51592777 -2.06371107 -3.67099624  3.7202861 ]
131,[0.98076194],1.3207959912823752,[-2.12748779 -1.36513748 -2.50184446  3.19845508]
132,[0.99999988],0.28366461941566673,[-2.54139772 -0.7960007  -1.69800658  2.50147298]
133,[0.67725236],0.03759071437422832,[-2.82518909 -0.35825508 -1.19597069  1.9412387 ]
134,[-0.99999975],0.0025517705099511504,[-3.01738736 -0.04873091 -0.77159018  1.22481863]
135,[-0.99999981],0.00011131105219944905,[ 3.13433557  0.15617745 -0.5775084   0.88144644]
136,[-0.8097229],0.00012308775015136436,[ 3.02052719  0.32974129 -0.58977451  0.90176588]
137,[-0.9999993],0.0008417763561097307,[ 2.88952441  0.52857626 -0.75169281  1.13493461]
138,[-1.],0.004842313776020474,[ 2.70650657  0.80292846 -1.11634475  1.65714451]
139,[-1.],0.02561947003917119,[ 2.42653972  1.20857736 -1.72937581  2.43000529]
140,[-1.],0.13269464860713934,[ 1.99442436  1.77933957 -2.64992911  3.26241721]
141,[-0.70715583],0.6118104183365571,[ 1.34041736  2.50548498 -3.92742115  3.95307786]
142,[1.],2.149999840570562,[ 0.42945292 -2.88970889 -5.01021188  5.01099135]
143,[1.],4.547394813690361,[-0.56406621 -1.71673136 -4.78011536  6.8337365 ]
144,[-0.53847805],4.810360844245536,[-1.4599907  -0.20943532 -4.10611309  7.87061356]
145,[0.94471704],4.048583268658587,[-2.14623487  1.24798647 -2.64179158  6.4534063 ]
146,[1.],4.321319315103134,[-2.51988679  2.41480553 -1.15327655  5.36018129]
147,[0.99999999],4.75936956878481,[-2.65394504 -2.86013133 -0.37092023  4.76229061]
148,[0.99999983],3.367566960303636,[-2.72967857 -1.95621272 -0.46245731  4.29535155]
149,[0.0063968],1.1175645135537347,[-2.83151481 -1.16092021 -0.52174083  3.65929129]
150,[-0.50390924],0.15080805304298325,[-2.91898539 -0.50394953 -0.3248933   2.92925653]
151,[0.99975034],0.004094876017843023,[-2.97696942  0.08004423 -0.25270223  2.97499379]
152,[1.],0.0018750545269641413,[-3.01584322  0.70739779 -0.10505122  3.32501095]
153,[1.],0.11245698030647475,[-2.99626656  1.40625312  0.38681539  3.61432674]
154,[-0.99899719],0.9827259136858029,[-2.80785144  2.07542771  1.56807195  2.98992809]
155,[0.99979996],3.235438570229921,[-2.3614744   2.59737003  2.93082796  2.08631716]
156,[0.99991672],5.1142693706885725,[-1.63200369  2.86066819  4.35867602  0.45406065]
157,[0.9998557],5.172563159346427,[-0.63271996  2.76126153  5.51968661 -1.44766766]
158,[0.8887452],5.185401070016869,[ 0.49205688  2.29647399  5.47174252 -3.1042358 ]
159,[0.98548719],3.775422064226354,[ 1.47263335  1.5870771   4.24148947 -3.76738438]
160,[-0.21120743],1.2129847634024855,[ 2.20125803  0.84097977  3.09677028 -3.55713566]
161,[1.],0.17256868085926672,[ 2.72357781  0.2263622   2.20339647 -2.60263949]
162,[-0.98984564],0.010901993019280937,[-3.13973403 -0.30050339  2.08858126 -2.77694833]
163,[0.99759112],0.001959444795330995,[-2.71445859 -0.85996267  2.25655206 -2.9182988 ]
164,[1.],0.03314595636836415,[-2.20288709 -1.49313881  2.94583302 -3.43505362]
165,[0.78980952],0.3124454303339959,[-1.50036178 -2.23047549  4.14895379 -3.8804196 ]
166,[1.],1.5351596903708513,[-0.54206322 -3.02290846  5.31601676 -4.05463536]
167,[1.],3.782792314507198,[ 0.52583863  2.40068769  5.08937322 -4.61545605]
168,[1.],3.564321470763709,[ 1.42186548  1.42887721  3.82701801 -4.96479506]
169,[-0.22850073],1.4170055371162429,[ 2.07809899  0.44630062  2.77058162 -4.73754984]
170,[-0.99999999],0.4881431461279358,[ 2.55229031 -0.46831415  2.0064761  -4.42677891]
171,[-0.34875434],0.45930632533989896,[ 2.88460423 -1.32727051  1.33791676 -4.23756469]
172,[-1.],1.0947486969544662,[ 3.09321895 -2.19820513  0.74347256 -4.48827486]
173,[-0.99990961],2.6460807134869873,[-3.0864978  -3.12382674  0.40973371 -4.76961865]
174,[0.99989722],3.9954579533547085,[-2.97157836  2.21611137  0.86987498 -4.67269511]
175,[0.97788591],3.035850049521782,[-2.71866873  1.28317747  1.66556349 -4.69745585]
176,[1.],1.4957285403197915,[-2.30335249  0.31309426  2.50289086 -5.06102704]
177,[-0.96866542],0.8536996889979992,[-1.68692981 -0.80460498  3.64948842 -5.96654476]
178,[-0.8996757],1.183915076377072,[-0.84443305 -1.98332119  4.79532533 -5.63820045]
179,[0.92168047],2.934367718873856,[ 0.19604473 -2.99258433  5.4008515  -4.50941131]
180,[0.9999999],4.160731789123363,[ 1.19960408  2.45663411  4.42762936 -3.89157107]
181,[-0.99999962],2.226838383272937,[ 1.95279395  1.70425344  3.13626323 -3.56699158]
182,[-0.31054109],0.5732859522610491,[ 2.47516191  1.06871693  2.15856237 -2.75929946]
183,[-0.99999999],0.08631759860600266,[ 2.85056084  0.57413995  1.66639751 -2.24364662]
184,[-1.],0.006701032885059482,[-3.11359442  0.13896109  1.59877448 -2.20906275]
185,[0.46022717],0.00020441239848730035,[-2.78350363 -0.2996992   1.77881129 -2.28051933]
186,[-0.99964627],0.0042426851317632,[-2.35371372 -0.85515937  2.58753287 -3.30857655]
187,[-1.],0.08815675712654839,[-1.72301213 -1.61261187  3.78172358 -4.17084532]
188,[-0.99983227],0.7519255593074222,[-0.82131157 -2.47098952  5.21756329 -4.28335342]
189,[-1.],2.8648836184988244,[ 0.30181555  2.96991338  5.73270784 -4.22152575]
190,[-0.35774267],3.8543669116322063,[ 1.35166973  2.10123115  4.60952958 -4.46928638]
191,[0.03704749],1.601347290524549,[ 2.13934801  1.22148348  3.33785884 -4.22951837]
192,[0.58977719],0.23573411978229314,[ 2.71410162  0.45049187  2.49322919 -3.47295654]
193,[-0.99999844],0.008146092190644655,[-3.09000648 -0.24728998  2.39825628 -3.61577331]
194,[-0.4288938],0.0004169445218801016,[-2.57948467 -1.0166089   2.79932755 -4.14661356]
195,[-1.],0.06522214169526791,[-1.92891184 -1.9286698   3.80281284 -4.94877601]
196,[-1.],0.8011066294399847,[-1.02449433 -2.99089378  5.22610835 -5.74755092]
197,[0.77393106],3.525419647130844,[ 0.074341    2.00058177  5.54170165 -7.46815583]
198,[-0.67880779],6.321177693874078,[  1.18049352   0.19978619   5.43235724 -10.12524006]
199,[0.96220834],6.604050115545865,[ 2.08582838 -1.57544943  3.47138055 -7.2366584 ]
