,action,cost,state
0,[-0.48693355],2.4676382045550493,[1.60464433 0.67695997]
1,[-0.8311152],2.621401642512053,[1.66973748 1.3018631 ]
2,[-0.63375984],2.9579096553759694,[1.76739404 1.95313111]
3,[-0.4026103],3.5053158830006006,[1.89880864 2.62829219]
4,[0.13793367],4.29628527739611,[2.06675843 3.35899567]
5,[0.59488412],5.400129474598201,[2.27215151 4.10786174]
6,[1.06617592],6.851262044797301,[2.51418974 4.84076446]
7,[1.49651473],8.66668965594426,[2.78946598 5.50552487]
8,[1.40067761],10.81416276634028,[3.08818086 5.97429758]
9,[1.27327046],13.10770540944034,[3.39844726 6.20532795]
10,[1.08861441],12.173508193244114,[3.70735178 6.17809041]
11,[1.11817215],10.453048785797458,[4.00454046 5.94377362]
12,[1.10729982],8.726292941599203,[4.2815428 5.5400467]
13,[1.16652146],7.077145263835313,[4.53322107 5.03356542]
14,[1.04992249],5.597155261104993,[4.75587404 4.45305955]
15,[1.39694026],4.317605072535286,[4.95153952 3.91330958]
16,[1.43522182],3.306739545966793,[5.12153643 3.3999382 ]
17,[1.5079832],2.5076600964413625,[5.26843845 2.93804044]
18,[1.54809347],1.8953159294070052,[5.39510067 2.53324424]
19,[1.57096846],1.4328949084480076,[5.50445021 2.18699093]
20,[1.59144829],1.087253986654227,[5.59939639 1.89892346]
21,[1.40775137],0.8301400827870805,[5.68121064 1.63628516]
22,[1.4813849],0.6323109103021479,[5.75290012 1.43378955]
23,[1.4706585],0.4889404620713279,[5.81665281 1.27505379]
24,[1.3141968],0.38195589982801614,[5.87339477 1.13483927]
25,[1.06977001],0.29785870536270126,[5.92321937 0.99649186]
26,[1.09385553],0.2300716007477363,[5.96803879 0.89638842]
27,[0.98817073],0.1806450301385942,[6.00864615 0.8121472 ]
28,[0.79590723],0.14196352533021273,[6.04505644 0.72820575]
29,[0.49774331],0.10998146873877375,[6.07635412 0.62595371]
30,[0.6830682],0.08242752621023654,[6.10507383 0.57439419]
31,[0.20685439],0.06475935569879494,[6.12870103 0.47254392]
32,[0.50970659],0.046454969241040756,[6.15038088 0.433597  ]
33,[0.12895449],0.036454281948065465,[6.16806234 0.35362937]
34,[0.19707615],0.02579750895464855,[6.1829143  0.29703917]
35,[0.41570361],0.019050310551468514,[6.19713017 0.28431741]
36,[0.02133284],0.015489580257454762,[6.20828296 0.22305562]
37,[0.16408498],0.010612667219045826,[6.21786016 0.19154412]
38,[0.05333105],0.00793913380869987,[6.2253894  0.15058475]
39,[0.24201722],0.005666516172519383,[6.23256763 0.14356453]
40,[-0.09368856],0.004632004784214041,[6.23714583 0.0915642 ]
41,[0.41040266],0.003126463548970713,[6.24307619 0.11860719]
42,[0.00019272],0.003015507475301096,[6.24750431 0.08856233]
43,[0.03963869],0.002059033299151401,[6.25089196 0.06775306]
44,[0.49951997],0.0017514279487201054,[6.25681523 0.11846526]
45,[-0.19449868],0.0021366126006767175,[6.26029099 0.06951519]
46,[0.02568086],0.00100804557058979,[6.26310089 0.05619807]
47,[0.21403937],0.0007650190436809468,[6.26676297 0.07324168]
48,[0.09088566],0.0008143876047809911,[6.27049089 0.07455833]
49,[-0.35932863],0.0008461597683642256,[6.27104781 0.01113848]
50,[-0.0760988],0.00016551633835038768,[ 6.27057885 -0.00937924]
51,[0.25162653],0.00023103562667113094,[6.27152436 0.01891015]
52,[0.0809878],0.00017829610060828086,[6.27264    0.02231281]
53,[0.34003835],0.0002766157215197021,[6.27591049 0.06540973]
54,[-0.10116391],0.0004910003968216269,[6.27814944 0.04477907]
55,[0.29456036],0.00031264230951517393,[6.28240875 0.08518624]
56,[-0.03126265],0.0007272500017865615,[6.28640447 0.07991443]
57,[0.08298001],0.0006558803442821978,[6.29114326 0.0947758 ]
58,[-0.41959554],0.0011376347924763127,[6.29303351 0.03780488]
59,[-0.10376677],0.0002506754839333372,[6.2945148  0.02962589]
60,[-0.15367778],0.00023974368656242816,[6.29526836 0.01507117]
