,action,cost,state
0,[-0.73926739],0.000546516278588669,[-0.00554451 -0.11089011]
1,[0.50996718],0.001520469697132229,[-0.00747217 -0.03855339]
2,[-0.53288198],0.0004884329790784141,[-0.01367666 -0.12408976]
3,[1.02988467],0.0027875405135107186,[-0.01266988  0.02013576]
4,[1.25195134],0.0017684527714554475,[-0.00274856  0.19842631]
5,[-1.04383647],0.005034449095913329,[-0.00075909  0.03978942]
6,[0.25368707],0.0002232531338883953,[0.00310457 0.07727316]
7,[-0.34721406],0.0007273101255016395,[0.00448054 0.02751948]
8,[-0.04278248],9.763776834404862e-05,[0.00570367 0.0244625 ]
9,[-1.12646297],0.0013612920529989581,[-0.00130779 -0.14022922]
10,[0.02964273],0.0019690123305577123,[-0.00814598 -0.13676365]
11,[0.5331697],0.0022210564804781116,[-0.01129086 -0.06289761]
12,[1.19204168],0.0019440577229305244,[-0.00591882  0.10744068]
13,[0.26222636],0.001258145069112937,[0.00119796 0.14233554]
14,[-0.48523956],0.0022628331939512536,[0.00472036 0.07044807]
15,[-1.01248409],0.001543698930321508,[ 0.00082614 -0.07788428]
16,[-0.31583388],0.0007070297124641543,[-0.00540584 -0.12463976]
17,[0.8174914],0.0022510222274981697,[-0.00570936 -0.00607041]
18,[0.44385238],0.00023328675031281354,[-0.00289809  0.05622545]
19,[-0.4837196],0.0005585136932809191,[-0.00382339 -0.01850606]
20,[-0.81426938],0.0007119003741475629,[-0.01099909 -0.143514  ]
21,[0.93173045],0.003048728560291231,[-0.01159927 -0.01200359]
22,[1.45438881],0.00226419857213879,[-0.0017265   0.19745547]
23,[-1.5116036],0.006186792626975284,[-0.0032555  -0.03057994]
24,[-1.24112517],0.0016445032194686337,[-0.01421501 -0.21919033]
25,[0.87503655],0.005772195851088402,[-0.0191448  -0.09859575]
26,[1.64827423],0.004055443607455461,[-0.01243042  0.13428766]
27,[-1.12598715],0.0032256798972037587,[-0.01462707 -0.04393299]
28,[0.32760208],0.0005142849702958264,[-0.0149152  -0.00576258]
29,[0.00082066],0.00022578450695895524,[-0.01575647 -0.01682547]
30,[0.3411906],0.0003929870178325215,[-0.01462966  0.02253626]
31,[1.06786484],0.0014051504854433663,[-0.00604245  0.17174413]
32,[-0.90316558],0.0038018240018340022,[-0.00445558  0.03173749]
33,[0.07248919],0.00012583364639318588,[-0.00249212  0.03926919]
34,[-0.25457841],0.00022522776444859605,[-0.00253145 -0.00078665]
35,[0.39876543],0.00016548398337753084,[0.00032503 0.05712958]
36,[0.12018197],0.00034092818537047814,[0.00409506 0.07540064]
37,[-0.70480716],0.0010820483576825073,[ 0.0027326  -0.02724914]
38,[0.40160781],0.0002430075433614014,[0.00448468 0.03504148]
39,[-0.12367034],0.00015819720283355128,[0.0054774  0.01985442]
40,[-1.09024667],0.0012580595229861123,[-0.00150133 -0.13957455]
41,[1.59501627],0.004494436339432124,[0.00342627 0.0985519 ]
42,[-0.7886659],0.0016049808312053955,[ 0.00256735 -0.01717829]
43,[0.18882629],7.175604588500143e-05,[0.00322091 0.01307116]
44,[0.70193325],0.0005201700792361566,[0.00925975 0.12077683]
45,[-0.35808203],0.001672669949852729,[0.01296021 0.07400924]
46,[-0.59833405],0.0010737075001467588,[ 0.01265916 -0.00602098]
47,[0.7231543],0.0006868318003023636,[0.01825648 0.11194628]
48,[-1.10458274],0.0028065990725394227,[ 0.016254   -0.04004953]
49,[-0.08268648],0.0004314261181261627,[ 0.01424088 -0.04026254]
50,[0.20218093],0.000405786841608978,[0.01427812 0.0007449 ]
51,[-0.36573233],0.00033768033672306814,[ 0.01210778 -0.04340672]
52,[-0.14112457],0.0003549289436274616,[ 0.00933304 -0.05549479]
53,[-0.53270356],0.0006788460034528273,[ 0.00291301 -0.12840065]
54,[0.57484092],0.001987600293406372,[ 0.00091352 -0.03998975]
55,[-0.05318059],0.0001635807247119937,[-0.00145056 -0.0472817 ]
56,[-0.3158331],0.00032541055789004687,[-0.00623779 -0.09574458]
57,[0.8242132],0.0016349399123198425,[-0.00507734  0.02320909]
58,[-0.92673306],0.000938479671845284,[-0.01105778 -0.11960886]
59,[1.33239135],0.0033281690076539657,[-0.00745994  0.07195668]
60,[0.66206736],0.0010117603492278391,[0.00082365 0.16567188]
61,[-0.71402515],0.0032552274860667284,[0.00378294 0.05918584]
62,[-0.01067983],0.00036472112154586753,[0.006804   0.06042107]
63,[0.61988392],0.000795621002941463,[0.01472933 0.15850662]
64,[-1.69790576],0.005612271766231787,[ 0.01047269 -0.08513265]
