,action,cost,state
0,[0.09373984],8.78715790662694e-06,[0.00070305 0.01406098]
1,[0.13045783],3.72846286810392e-05,[0.0024109  0.03415694]
2,[0.26983915],0.00019529522133893774,[0.00623294 0.07644098]
3,[-0.38878508],0.0007743257716230389,[0.00737284 0.0227979 ]
4,[0.28410508],0.00018704886658345226,[0.01092    0.07094324]
5,[-0.76319295],0.0012050042056984613,[ 0.00915271 -0.03534587]
6,[0.2316609],0.00026237185880827483,[0.00946609 0.0062677 ]
7,[0.06309366],9.751614318501095e-05,[0.01060765 0.02283122]
8,[-0.75620234],0.0007364907484850964,[ 0.00647548 -0.08264354]
9,[0.94734005],0.0016223804755403186,[0.00969118 0.06431404]
10,[-0.80426018],0.0011543829472556318,[ 0.00723834 -0.04905672]
11,[0.09958007],0.0003029659542624495,[ 0.00580379 -0.028691  ]
12,[0.43605261],0.00030614322584748274,[0.00785728 0.04106971]
13,[-0.5970903],0.0005869258067257027,[ 0.00572723 -0.04260093]
14,[-0.2656864],0.00028487440181855587,[ 0.00181931 -0.07815849]
15,[0.14332712],0.0006347275408066366,[-0.00094544 -0.05529494]
16,[-0.03351724],0.000307770343954713,[-0.00399702 -0.06103161]
17,[0.69013647],0.0008647502597099444,[-0.00202246  0.0394911 ]
18,[-0.00702363],0.00016009442356484024,[-0.00017643  0.03692071]
19,[0.68533252],0.0006060256872436832,[0.00680298 0.13958827]
20,[-0.70855363],0.0024968172959610813,[0.00872336 0.03840742]
21,[-0.11266768],0.00023630393476629038,[0.01012584 0.0280497 ]
22,[-0.40579659],0.00034588210778922215,[ 0.00886456 -0.02522553]
23,[-0.46931862],0.00036247321252457827,[ 0.00441581 -0.08897499]
24,[0.13847839],0.0008303305887957763,[ 0.00117124 -0.06489138]
25,[0.4888646],0.0006614495760114606,[0.00163708 0.00931674]
26,[0.08224274],1.8124070455563467e-05,[0.00278113 0.02288096]
27,[-0.00269461],6.009578899428836e-05,[0.00400926 0.02456262]
28,[-0.12615467],9.23213819320909e-05,[0.00444158 0.00864635]
29,[-0.80032088],0.0006677170746124411,[-0.00096195 -0.10807061]
30,[0.8166633],0.0018357899105345145,[-0.00027658  0.01370742]
31,[-0.0120265],1.9010479421743267e-05,[0.00030822 0.01169601]
32,[-0.03910532],1.530389583544625e-05,[0.00061129 0.00606138]
33,[-0.05393031],6.956185122062391e-06,[ 0.0005328 -0.0015697]
34,[0.28246278],8.031549600520503e-05,[0.00259277 0.04119932]
35,[0.02411486],0.00017704236753786985,[0.00493083 0.04676112]
36,[-0.56805747],0.0005656625934230135,[ 0.00319336 -0.03474939]
37,[0.55086012],0.00043439643824581424,[0.00570709 0.05027464]
38,[-0.31840162],0.0003867043626493182,[0.00604682 0.00679469]
39,[0.39296281],0.0001956006060632017,[0.00956053 0.0702742 ]
40,[0.02430776],0.0005858409299986852,[0.01361506 0.08109065]
41,[-0.77179153],0.00143860152637141,[ 0.01239171 -0.02446709]
42,[0.10785633],0.00022505133886494875,[0.01244196 0.0010049 ]
43,[-0.6650929],0.0005972518017387083,[ 0.00797056 -0.08942781]
44,[0.66567493],0.0013063863233130635,[0.00879063 0.01640129]
45,[-0.16072328],0.00013000737120520244,[ 0.00873491 -0.00111431]
46,[0.72699574],0.0006049456923296579,[0.01445922 0.11448615]
47,[-0.73139396],0.0020547140663803444,[0.01524028 0.01562109]
48,[0.26238501],0.00032551375973840704,[0.01856071 0.06640861]
49,[-0.3994925],0.0009451044210282642,[0.01958093 0.02040447]
50,[-0.41350962],0.0005960372299722703,[ 0.01823407 -0.02693722]
51,[0.36099198],0.0005353578457011717,[0.02027839 0.04088637]
52,[-0.36545999],0.0007119435541528853,[0.02034214 0.00127512]
53,[-0.33453115],0.0005258764861574473,[ 0.01865969 -0.03364899]
54,[-0.39604347],0.0006182600829931705,[ 0.01470662 -0.07906156]
55,[-0.79151183],0.0014678484865397424,[ 0.00536868 -0.18675877]
56,[0.26777809],0.003588411439021233,[-0.0017596  -0.14256556]
57,[0.89971382],0.002845075113772936,[-0.00220601 -0.00892819]
58,[0.85912609],0.0007509353825624524,[0.0037083  0.11828622]
59,[-0.71024729],0.0019173656536053793,[0.00443482 0.01453034]
60,[-0.17256646],7.05598837390166e-05,[ 0.00403339 -0.00802852]
61,[-0.25312586],8.678667195668595e-05,[ 0.00188477 -0.04297237]
62,[0.08749631],0.0001958703990059246,[ 0.00046306 -0.02843434]
63,[0.05980041],8.464167426846637e-05,[-0.00049279 -0.01911699]
64,[0.37489444],0.00017733459870548113,[0.00134459 0.03674759]
65,[-0.49749098],0.00038434370057670975,[-0.00049879 -0.03686762]
66,[0.65680887],0.0005675688318033324,[0.00256519 0.06127962]
67,[-0.70830203],0.0008837910723971752,[ 0.0004131 -0.0430418]
68,[-0.44835258],0.00038645033791240345,[-0.00508615 -0.10998486]
69,[0.65897454],0.001669783358043901,[-0.00583381 -0.01495328]
70,[0.29653312],0.00014432528381984263,[-0.00457624  0.02515136]
71,[-0.48210226],0.0003166236679416803,[-0.00710605 -0.05059615]
72,[-0.14947115],0.0003288346122432411,[-0.01102337 -0.07834632]
73,[-0.68462313],0.001204037937643866,[-0.02048872 -0.18930714]
74,[0.48655267],0.0042402406573156136,[-0.02707321 -0.13168971]
