,action,cost,state
0,[-0.93664942],0.0,[ 0.         -0.14986391  3.14159265  0.37465977]
1,[-0.98881579],0.0,[-1.49863908e-03 -3.07834652e-01  3.14533925e+00  7.69586630e-01]
2,[-0.95783566],-4.925913922815561e-11,[-0.00457699 -0.46036846  3.15303512  1.1499987 ]
3,[-0.99509889],-4.285533077107469e-09,[-0.00918067 -0.61812486  3.1645351   1.54155479]
4,[-0.99180648],-6.925409789882573e-08,[-0.01536192 -0.77429345  3.17995065  1.92624165]
5,[-0.99210774],-5.410200655021958e-07,[-0.02310485 -0.92905593  3.19921307  2.30344867]
6,[-0.99216002],-2.753632035047174e-06,[-0.03239541 -1.0818901   3.22224756  2.67076201]
7,[-0.9810788],-1.0563234934973646e-05,[-0.04321431 -1.23044227  3.24895518  3.02115582]
8,[-0.99813406],-3.31259964508538e-05,[-0.05551874 -1.37853013  3.27916673  3.3629369 ]
9,[-0.98926539],-8.915439440649605e-05,[-0.06930404 -1.52126989  3.3127961   3.68274666]
10,[-0.99182828],-0.00021329177217221132,[-0.08451674 -1.65968103  3.34962357  3.98189033]
11,[-0.98342897],-0.00046343449634657754,[-0.10111355 -1.79124123  3.38944247  4.25299554]
12,[-0.97556811],-0.0009296988762343521,[-0.11902596 -1.91532345  3.43197243  4.4934958 ]
13,[-0.98896323],-0.0017420457310572857,[-0.13817919 -2.03458859  3.47690739  4.70888552]
14,[-0.99364004],-0.003076433682535937,[-0.15852508 -2.14717992  3.52399624  4.8939016 ]
15,[-0.99460901],-0.005161152222002374,[-0.17999688 -2.25225621  3.57293526  5.0460096 ]
16,[-0.99537321],-0.008273701718417011,[-0.20251944 -2.34975937  3.62339535  5.16479926]
17,[-0.98579947],-0.012732956703212702,[-0.22601703 -2.43844276  3.67504335  5.2475095 ]
18,[-0.9854179],-0.018885646862786713,[-0.25040146 -2.52013022  3.72751844  5.29851489]
19,[-0.98726557],-0.027081461559657842,[-0.27560276 -2.59577711  3.78050359  5.32033308]
20,[-0.98576446],-0.03765693273642564,[-0.30156054 -2.66570998  3.83370692  5.31428191]
