,action,cost,state
0,[0.28177456],0.0,[ 0.          0.04508393  3.14159265 -0.11270982]
1,[-0.02655527],0.0,[ 4.50839299e-04  4.07629519e-02  3.14046556e+00 -1.01907380e-01]
2,[-0.2335928],-4.0344745047667434e-13,[ 8.58468818e-04  3.25647578e-03  3.13944648e+00 -7.86454645e-03]
3,[-0.37213389],-5.303928633844724e-12,[ 8.91033575e-04 -5.64164451e-02  3.13936784e+00  1.41844297e-01]
4,[-0.46733292],-6.1251549121855155e-12,[ 3.26869124e-04 -1.31230416e-01  3.14078628e+00  3.29424955e-01]
5,[-0.6238779],-1.0570296446424964e-13,[-9.85435040e-04 -2.30888595e-01  3.14408053e+00  5.78768286e-01]
6,[-0.61279765],-9.577531976083723e-12,[-0.00329432 -0.32841785  3.14986821  0.8219799 ]
7,[-0.6112822],-1.1725251092771862e-09,[-0.0065785  -0.42519256  3.15808801  1.06187677]
8,[-0.62216179],-1.8507984283810007e-08,[-0.01083043 -0.5230258   3.16870678  1.30237717]
9,[-0.62098462],-1.350975019469354e-07,[-0.01606068 -0.61979668  3.18173055  1.53755974]
10,[-0.61992926],-6.486252191964176e-07,[-0.02225865 -0.71531135  3.19710615  1.76630288]
11,[-0.62217527],-2.3725698183323973e-06,[-0.02941176 -0.80986066  3.21476918  1.98869046]
12,[-0.6217728],-7.159431228857992e-06,[-0.03751037 -0.90276045  3.23465608  2.20236958]
13,[-0.62088857],-1.871403564666333e-05,[-0.04653797 -0.99365376  3.25667978  2.40580544]
14,[-0.6248657],-4.372050267111692e-05,[-0.05647451 -1.08301901  3.28073783  2.59954908]
15,[-0.6262964],-9.328622396736798e-05,[-0.0673047  -1.17014553  3.30673332  2.78121015]
16,[-0.62848337],-0.00018473055111278033,[-0.07900616 -1.25485121  3.33454542  2.94973533]
17,[-0.62999076],-0.00034346827137551953,[-0.09155467 -1.33674221  3.36404278  3.10358706]
18,[-0.63139225],-0.000604960478416709,[-0.10492209 -1.41554601  3.39507865  3.24157998]
19,[-0.63339113],-0.001016372263210091,[-0.11907755 -1.49114295  3.42749445  3.36296641]
20,[-0.63524494],-0.0016377453381585466,[-0.13398898 -1.56335311  3.46112411  3.46692728]
21,[-0.63685709],-0.002542457395134527,[-0.14962251 -1.63204913  3.49579338  3.55285743]
22,[-0.63817796],-0.003816593042052069,[-0.165943   -1.69717115  3.53132196  3.62040677]
23,[-0.63932392],-0.005557137930141991,[-0.18291472 -1.75875445  3.56752603  3.6695452 ]
24,[-0.64030159],-0.007868933340905283,[-0.20050226 -1.81691043  3.60422148  3.70051161]
25,[-0.64111624],-0.010860525849982896,[-0.21867136 -1.87181997  3.64122659  3.71378837]
26,[-0.64178372],-0.014639105442757079,[-0.23738956 -1.92372481  3.67836448  3.71006801]
27,[-0.64232732],-0.01930487692450843,[-0.25662681 -1.97291607  3.71546516  3.690211  ]
28,[-0.64275664],-0.02494527125301689,[-0.27635597 -2.0197184   3.75236727  3.655194  ]
29,[-0.64308168],-0.03162941604135573,[-0.29655316 -2.06447635  3.78891921  3.60606395]
30,[-0.64331027],-0.03940323723973959,[-0.31719792 -2.10754124  3.82497985  3.54389575]
31,[-0.64344997],-0.048285504239456545,[-0.33827333 -2.14925995  3.8604188   3.46975707]
32,[-0.64350837],-0.05826503057331552,[-0.35976593 -2.18996576  3.89511638  3.38468078]
33,[-0.64349247],-0.06929914339448551,[-0.38166559 -2.22997125  3.92896318  3.28964479]
34,[-0.64340867],-0.08131343982885741,[-0.4039653  -2.26956316  3.96185963  3.18555911]
35,[-0.64326225],-0.09420276814994684,[-0.42666093 -2.30899903  3.99371522  3.07325881]
36,[-0.64305676],-0.10783331248479232,[-0.44975092 -2.34850525  4.02444781  2.95350194]
37,[-0.64279356],-0.12204562005744488,[-0.47323598 -2.38827633  4.05398283  2.82697113]
38,[-0.64247142],-0.13665838900740768,[-0.49711874 -2.42847496  4.08225254  2.69427789]
39,[-0.64208641],-0.15147282904438422,[-0.52140349 -2.46923272  4.10919532  2.55596866]
40,[-0.64163162],-0.16627741277596994,[-0.54609582 -2.51065129  4.13475501  2.41253185]
41,[-0.6410994],-0.18085284875768318,[-0.57120233 -2.55280407  4.15888033  2.26440563]
42,[-0.640481],-0.19497712445517318,[-0.59673037 -2.59573797  4.18152438  2.1119856 ]
43,[-0.63976843],-0.20843048898654865,[-0.62268775 -2.63947543  4.20264424  1.95563226]
44,[-0.63895611],-0.22100026197917919,[-0.6490825  -2.68401658  4.22220056  1.79567803]
45,[-0.63804235],-0.23248537481500492,[-0.67592267 -2.72934154  4.24015734  1.63243366]
46,[-0.63702881],-0.24270056607038173,[-0.70321609 -2.77541254  4.25648168  1.46619366]
47,[-0.6358787],-0.25148016648699784,[-0.73097021 -2.82217152  4.27114361  1.29723583]
48,[-0.63466653],-0.25868141865775907,[-0.75919193 -2.86955382  4.28411597  1.12583811]
49,[-0.6334155],-0.26418725499018664,[-0.78788746 -2.9174841   4.29537435  0.95227426]
50,[-0.63215328],-0.2679086180799396,[-0.81706231 -2.96587833  4.3048971   0.7768162 ]
51,[-0.63089791],-0.26978615923150484,[-0.84672109 -3.01464435  4.31266526  0.59973419]
52,[-0.6296724],-0.2697913417186314,[-0.87686753 -3.06368383  4.3186626   0.4212983 ]
53,[-0.62848401],-0.26792692638604954,[-0.90750437 -3.11289217  4.32287558  0.24177728]
54,[-0.62754318],-0.26422684436986965,[-0.93863329 -3.16218143  4.32529336  0.06145927]
55,[-0.62671945],-0.2587554460133119,[-0.97025511 -3.21144576  4.32590795 -0.11938276]
56,[-0.62599743],-0.25160624637508167,[-1.00236956 -3.26057513  4.32471412 -0.30047898]
57,[-0.62531062],-0.24289988886447608,[-1.03497532 -3.30945149  4.32170933 -0.48156789]
58,[-0.62462004],-0.23278162236801428,[-1.06806983 -3.35795315  4.31689365 -0.66239394]
59,[-0.62399847],-0.22141823708645986,[-1.10164936 -3.40596805  4.31026971 -0.84269659]
60,[-0.62342267],-0.20899454528755274,[-1.13570904 -3.45338511  4.30184275 -1.02221998]
61,[-0.62288707],-0.19570949097350884,[-1.17024289 -3.50009764  4.29162055 -1.20071103]
62,[-0.62238581],-0.18177187191243313,[-1.20524387 -3.54600478  4.27961344 -1.37791907]
63,[-0.62192001],-0.1673958127831474,[-1.24070392 -3.59101384  4.26583425 -1.55359414]
64,[-0.62149039],-0.15279608119753318,[-1.27661406 -3.63504188  4.2502983  -1.72748554]
65,[-0.62108233],-0.13818336130722517,[-1.31296447 -3.67801569  4.23302345 -1.89934158]
66,[-0.62068836],-0.1237596052671975,[-1.34974463 -3.71987429  4.21403003 -2.06890604]
67,[-0.62031326],-0.1097135898786391,[-1.38694337 -3.7605721   4.19334097 -2.23591309]
68,[-0.61996333],-0.09621682091792447,[-1.4245491  -3.80008106  4.17098184 -2.40008231]
69,[-0.61964073],-0.08341991947235872,[-1.46254991 -3.83839227  4.14698102 -2.56111349]
70,[-0.61934619],-0.07144961408167413,[-1.50093383 -3.8755181   4.12136988 -2.71867999]
71,[-0.61908027],-0.06040645265069702,[-1.53968901 -3.91149458  4.09418308 -2.87242071]
72,[-0.61884516],-0.05036333147263543,[-1.57880396 -3.94638417  4.06545888 -3.02193071]
73,[-0.61864214],-0.041364912613563086,[-1.6182678  -3.98027844  4.03523957 -3.16675092]
