,action,cost,state
0,[0.],0.0,[0.01       0.9984     3.14159265 0.004     ]
1,[0.],0.0,[0.019984   0.99680256 3.14163265 0.0079936 ]
2,[0.],-6.398904476458729e-19,[0.02995203 0.99521003 3.14171259 0.0119651 ]
3,[0.],-5.1709619710225475e-17,[0.03990413 0.99362476 3.14183224 0.01589883]
4,[0.],-8.231833975070731e-16,[0.04984037 0.99204908 3.14199123 0.01977922]
5,[0.],-6.3025908845019846e-15,[0.05976086 0.99048529 3.14218902 0.02359085]
6,[0.],-3.157410358978419e-14,[0.06966572 0.98893565 3.14242493 0.02731853]
7,[0.],-1.1970328282792935e-13,[0.07955507 0.98740239 3.14269811 0.03094735]
8,[0.],-3.7233689672173473e-13,[0.0894291  0.98588769 3.14300759 0.03446273]
9,[0.],-9.986122104046317e-13,[0.09928797 0.98439364 3.14335222 0.03785047]
10,[0.],-2.386288044665333e-12,[0.10913191 0.98292229 3.14373072 0.04109686]
11,[0.],-5.197651857036869e-12,[0.11896113 0.9814756  3.14414169 0.04418868]
12,[0.],-1.049077554944521e-11,[0.12877589 0.98005545 3.14458358 0.04711327]
13,[0.],-1.9864200217786226e-11,[0.13857644 0.97866361 3.14505471 0.04985859]
14,[0.],-3.56202935100305e-11,[0.14836308 0.97730176 3.14555329 0.05241326]
15,[0.],-6.093955369791263e-11,[0.1581361  0.97597147 3.14607743 0.05476661]
16,[0.],-1.0005527330544336e-10,[0.16789581 0.9746742  3.14662509 0.05690874]
17,[0.],-1.5841547668164352e-10,[0.17764255 0.97341129 3.14719418 0.05883052]
18,[0.],-2.428171598768371e-10,[0.18737667 0.97218394 3.14778249 0.06052369]
19,[0.],-3.6149681225945434e-10,[0.19709851 0.97099322 3.14838772 0.06198083]
20,[0.],-5.241611701690331e-10,[0.20680844 0.96984008 3.14900753 0.06319544]
21,[0.],-7.419432665434093e-10,[0.21650684 0.96872531 3.14963949 0.06416195]
22,[0.],-1.0272711489696277e-09,[0.22619409 0.96764957 3.1502811  0.06487574]
23,[0.],-1.3936401132620106e-09,[0.23587059 0.96661336 3.15092986 0.06533317]
24,[0.],-1.8552838286757245e-09,[0.24553672 0.96561705 3.15158319 0.0655316 ]
25,[0.],-2.426745121658727e-09,[0.25519289 0.96466082 3.15223851 0.0654694 ]
26,[0.],-3.1223531704016065e-09,[0.2648395  0.96374474 3.1528932  0.06514596]
27,[0.],-3.95562011756529e-09,[0.27447695 0.96286871 3.15354466 0.06456169]
28,[0.],-4.9385762636798585e-09,[0.28410564 0.96203245 3.15419028 0.06371803]
29,[0.],-6.081068671681279e-09,[0.29372596 0.96123557 3.15482746 0.06261743]
30,[0.],-7.390052806532842e-09,[0.30333832 0.9604775  3.15545364 0.06126339]
31,[0.],-8.868910397602001e-09,[0.31294309 0.95975753 3.15606627 0.05966038]
32,[0.],-1.0516828738636487e-08,[0.32254067 0.9590748  3.15666287 0.0578139 ]
33,[0.],-1.2328276901768077e-08,[0.33213141 0.95842829 3.15724101 0.05573038]
34,[0.],-1.4292612696306192e-08,[0.3417157  0.95781686 3.15779832 0.05341725]
35,[0.],-1.639385062080696e-08,[0.35129387 0.95723923 3.15833249 0.05088283]
36,[0.],-1.8610615611205505e-08,[0.36086626 0.95669397 3.15884132 0.04813636]
37,[0.],-2.0916300274665756e-08,[0.3704332  0.95617953 3.15932268 0.04518791]
38,[0.],-2.3279434810564022e-08,[0.37999499 0.95569426 3.15977456 0.04204841]
39,[0.],-2.566426935013444e-08,[0.38955194 0.95523636 3.16019504 0.03872956]
40,[0.],-2.8031558452852014e-08,[0.3991043  0.95480394 3.16058234 0.03524381]
41,[0.],-3.0339527496378854e-08,[0.40865234 0.954395   3.16093478 0.03160428]
42,[0.],-3.254499121666752e-08,[0.41819629 0.95400745 3.16125082 0.02782477]
43,[0.],-3.46045862200273e-08,[0.42773636 0.95363912 3.16152907 0.02391964]
44,[0.],-3.647607238363069e-08,[0.43727275 0.95328775 3.16176826 0.01990382]
45,[0.],-3.811965309753395e-08,[0.44680563 0.95295102 3.1619673  0.01579271]
46,[0.],-3.949926160208981e-08,[0.45633514 0.95262653 3.16212523 0.01160213]
47,[0.],-4.058376044760771e-08,[0.46586141 0.95231186 3.16224125 0.00734826]
48,[0.],-4.134800342063499e-08,[4.75384526e-01 9.52004508e-01 3.16231473e+00 3.04760089e-03]
49,[0.],-4.177371409234869e-08,[ 4.84904571e-01  9.51701975e-01  3.16234521e+00 -1.28313451e-03]
50,[0.],-4.18501422479271e-08,[ 0.49442159  0.95140172  3.16233238 -0.00562704]
51,[0.],-4.157446853801343e-08,[ 0.50393561  0.95110119  3.16227611 -0.00996712]
52,[0.],-4.0951938318917455e-08,[ 0.51344662  0.95079783  3.16217644 -0.01428631]
53,[0.],-3.9995717301076745e-08,[ 0.5229546   0.9504891   3.16203357 -0.0185676 ]
54,[0.],-3.872647372381291e-08,[ 0.53245949  0.95017246  3.1618479  -0.02279406]
55,[0.],-3.7171703713966564e-08,[ 0.54196121  0.9498454   3.16161996 -0.0269489 ]
56,[0.],-3.536482765807061e-08,[ 0.55145967  0.94950545  3.16135047 -0.03101559]
57,[0.],-3.3344095264799636e-08,[ 0.56095472  0.9491502   3.16104031 -0.03497786]
58,[0.],-3.115134501375273e-08,[ 0.57044622  0.94877727  3.16069053 -0.03881981]
59,[0.],-2.883066948711927e-08,[ 0.579934    0.94838436  3.16030233 -0.04252594]
60,[0.],-2.642704137757486e-08,[ 0.58941784  0.94796923  3.15987708 -0.04608126]
61,[0.],-2.3984955622254406e-08,[ 0.59889753  0.94752973  3.15941626 -0.04947129]
62,[0.],-2.1547141117617284e-08,[ 0.60837283  0.94706383  3.15892155 -0.05268217]
63,[0.],-1.915339097301777e-08,[ 0.61784347  0.94656954  3.15839473 -0.05570067]
64,[0.],-1.683955352384318e-08,[ 0.62730916  0.94604504  3.15783772 -0.05851431]
65,[0.],-1.4636717743572748e-08,[ 0.63676961  0.94548858  3.15725258 -0.06111134]
66,[0.],-1.2570616743763966e-08,[ 0.6462245   0.94489855  3.15664147 -0.06348081]
67,[0.],-1.0661262280018218e-08,[ 0.65567349  0.94427349  3.15600666 -0.06561267]
68,[0.],-8.922812169023475e-09,[ 0.66511622  0.94361204  3.15535053 -0.06749773]
69,[0.],-7.363661843596716e-09,[ 0.67455234  0.942913    3.15467555 -0.06912776]
70,[0.],-5.986741478023421e-09,[ 0.68398147  0.94217532  3.15398428 -0.07049548]
71,[0.],-4.789991685422049e-09,[ 0.69340322  0.9413981   3.15327932 -0.07159464]
72,[0.],-3.766984116241008e-09,[ 0.7028172   0.94058059  3.15256337 -0.07242001]
73,[0.],-2.9076486549955687e-09,[ 0.71222301  0.9397222   3.15183917 -0.07296743]
74,[0.],-2.1990664823406783e-09,[ 0.72162023  0.93882252  3.1511095  -0.07323382]
75,[0.],-1.626288069077306e-09,[ 0.73100846  0.93788128  3.15037716 -0.07321716]
76,[0.],-1.1731371035813956e-09,[ 0.74038727  0.93689838  3.14964499 -0.07291659]
77,[0.],-8.229652069382142e-10,[ 0.74975625  0.93587391  3.14891582 -0.07233232]
78,[0.],-5.593277456415838e-10,[ 0.75911499  0.9348081   3.1481925  -0.0714657 ]
79,[0.],-3.665577141403195e-10,[ 0.76846307  0.93370137  3.14747784 -0.07031918]
80,[0.],-2.3022207984505283e-10,[ 0.77780009  0.93255429  3.14677465 -0.06889634]
