,action,cost,state
0,[1.],16.0,[0.58981848 0.05309276 2.65240979 0.5925243 ]
1,[0.2309208],13.187032828316713,[1.03968758 0.22502942 1.7979271  1.14182731]
2,[-1.],7.883809180780896,[1.3130123  0.47405457 0.91310156 1.37523188]
3,[-0.11025974],4.163027643056033,[ 1.38760607  0.81709553 -0.17443676  2.07701601]
4,[0.1395427],2.527691540121511,[ 1.23954562  1.31392177 -1.30359152  2.86728012]
5,[0.85703843],2.2297768781541016,[ 0.86244604  1.95975132 -2.44976694  3.50504197]
6,[-1.],2.8939328778657445,[ 0.28846908  2.64155959 -3.20951496  3.25041833]
7,[-0.87006983],3.9242692105821906,[-0.36658285 -3.03813791 -3.17792958  2.7573446 ]
8,[-0.08887178],3.8729315779672686,[-0.92690922 -2.53907446 -2.3226209   2.17895485]
9,[0.75230522],2.7306364559371206,[-1.27780008 -2.17658371 -1.16149901  1.38434341]
10,[-0.59587154],1.7884881032936752,[-1.37825771 -2.033102    0.16002744  0.027921  ]
11,[0.38206943],1.5068009690607727,[-1.22124484 -2.14020013  1.40483324 -1.0588478 ]
12,[-1.],1.8674501139406274,[-0.81260039 -2.458125    2.64483445 -2.02511668]
13,[-1.],2.876208166031351,[-0.19282448 -2.91029554  3.43415789 -2.40911903]
14,[0.22126062],3.9291440806474833,[ 0.49013758  2.91242117  3.23613479 -2.13792096]
15,[-0.74542228],3.6715424526422975,[ 1.05385662  2.52626674  2.31568976 -1.64771523]
16,[-1.],2.5244300758124667,[ 1.40017565  2.27891575  1.13076253 -0.76122824]
17,[-0.5893339],1.7182020517111294,[ 1.50198145  2.24846309 -0.11205906  0.47900176]
18,[-0.42946774],1.5586408448100857,[ 1.35448121  2.47341892 -1.36154439  1.74931618]
19,[0.90379139],2.0765988829263518,[ 0.95296942  2.96130691 -2.61704911  3.09656303]
20,[0.85305819],3.4716084233227913,[ 0.3415369  -2.57416068 -3.36921432  4.41569961]
21,[1.],5.418101243242638,[-0.3447683  -1.52960972 -3.43825215  6.08904518]
22,[1.],6.981293594254883,[-1.02614316 -0.14712505 -3.25448827  7.42617745]
23,[-0.10704559],8.440546554251016,[-1.52823977  1.18016156 -1.59619214  5.55797182]
24,[0.17007263],8.895745641957502,[-1.65094935  2.09215771  0.36008976  3.61285046]
25,[1.],7.975931039880781,[-1.40455579  2.64627921  2.04474592  1.92051966]
26,[-0.7083425],6.1933375787528675,[-0.85272212  2.83207388  3.38297044 -0.01427905]
27,[-0.57746195],5.1105454705548095,[-0.09957947  2.67341911  3.99311907 -1.47388247]
28,[-0.16509427],4.630822811778009,[ 0.66971067  2.29702009  3.53970529 -2.15372768]
29,[0.66118681],3.237303173699707,[ 1.264912    1.89088876  2.35206313 -1.75320299]
30,[0.68282786],1.6932190330737922,[ 1.60076548  1.64897758  1.00096249 -0.57043259]
31,[-0.5460807],0.9523376626206763,[ 1.67630468  1.65497703 -0.24419171  0.65193799]
32,[-0.91338478],0.8328832501033304,[ 1.50563624  1.89828358 -1.46694065  1.74854614]
33,[-1.],1.2085152208040506,[ 1.08899278  2.32939051 -2.68968568  2.48329189]
34,[1.],2.254324328842094,[ 0.43412252  2.89777094 -3.75619774  3.12448774]
35,[1.],3.7067496422775097,[-0.34472778 -2.71889339 -3.83326818  3.52909078]
36,[0.94608614],3.779935880381676,[-1.03006716 -1.98798761 -2.92722004  3.71376543]
37,[0.29691581],2.3176480986712744,[-1.49872312 -1.28434085 -1.75917312  3.23389769]
38,[1.],1.2895798777254812,[-1.74402582 -0.69831162 -0.7032213   2.60606631]
39,[1.],1.1285106488143093,[-1.78235511 -0.23970427  0.31995736  1.99541632]
40,[-0.80444324],1.8330812788703084,[-1.58786179  0.03936209  1.6401784   0.78295701]
41,[1.],4.020947933872889,[-1.14679681  0.12736363  2.7626866   0.07828741]
42,[0.8564242],8.61573927075321,[-0.49777728  0.06980356  3.63457114 -0.57934639]
43,[0.37855399],14.352388270868476,[ 0.25558159 -0.06228466  3.73239681 -0.56626592]
44,[-1.],15.593753332254227,[ 0.94821506 -0.13671997  3.07501497 -0.07849376]
45,[-1.],10.703031887466208,[ 1.45671694 -0.07752048  1.98412383  0.66032892]
46,[0.70623723],5.309622563625074,[1.71936418 0.17644579 0.6570141  1.85709471]
47,[0.50946167],2.349035547860087,[ 1.72897908  0.65493865 -0.54669054  2.9260226 ]
48,[0.15338084],1.2455458314977494,[ 1.50904459  1.33162967 -1.64904983  3.81391195]
49,[-0.89212452],1.2246693754946436,[ 1.07585238  2.13789062 -2.69721561  4.20936071]
50,[1.],2.1832545672556716,[ 0.42525826  3.04013407 -3.7083645   4.81023159]
51,[0.5085438],3.852972091042497,[-0.33228688 -2.20669312 -3.70145843  5.64117387]
52,[-0.09220797],4.500512914812918,[-1.02039122 -0.98175437 -3.17428851  6.57501182]
53,[1.],4.430754245595771,[-1.58842269  0.37042405 -2.33602697  6.57015377]
54,[1.],5.419114121709307,[-1.88250108  1.52830237 -0.51365877  4.94703076]
55,[0.17944911],6.923439814747925,[-1.77518102  2.33343206  1.56330617  3.08785555]
56,[0.49094677],6.997179008944938,[-1.28456043  2.75740128  3.25781291  1.14509039]
57,[-1.],5.665076777420909,[-0.50357045  2.77729494  4.41548527 -0.86660944]
58,[0.70392608],4.970272076142374,[ 0.39853977  2.48657891  4.40604894 -1.90567532]
59,[-1.],3.8194378533963413,[ 1.19803932  2.04248893  3.47466105 -2.36860063]
60,[-1.],1.8743653260398223,[ 1.77055083  1.60096345  2.25125546 -1.91982253]
61,[-1.],0.6853969167675379,[ 2.10710651  1.30903937  1.14024749 -0.94740011]
62,[-0.19617721],0.2771873708325504,[2.22723392 1.25446618 0.07534844 0.41481329]
63,[-0.54345382],0.19979333725845078,[ 2.14250044  1.46702968 -0.92779156  1.70618915]
64,[-1.],0.3208469737000203,[ 1.85382818  1.91996041 -1.98612225  2.79680412]
65,[-0.77036195],0.8353960175761804,[ 1.33333459  2.5756256  -3.23830747  3.71974233]
66,[-0.15876114],2.296726985874536,[ 0.56920189 -2.86567105 -4.27194172  4.75781324]
67,[0.52107451],4.746700930862797,[-0.30250746 -1.74791802 -4.32106859  6.52712007]
68,[-0.76245498],6.215758438964285,[-1.13241709 -0.28980589 -3.88141193  7.72548967]
69,[-1.],6.617755580471247,[-1.75721578  1.09022684 -2.21576576  5.76547634]
70,[-1.],6.761801163098236,[-2.01394176  2.04314556 -0.37696049  3.87377637]
71,[1.],6.608963319453451,[-1.93209329  2.69539318  1.16290568  2.62500474]
72,[0.77180111],5.612497138426639,[-1.5638166   3.07749295  2.48514367  1.18845239]
73,[-0.07702603],4.260379157800178,[-0.944679   -3.1188116   3.66067206 -0.25465435]
74,[0.21003004],3.927110962563775,[-0.1366324   3.01963762  4.28183059 -1.06916766]
75,[0.57437688],4.096285157013134,[ 0.69679338  2.79710815  3.89303539 -1.0146883 ]
76,[-0.37692682],3.3427741864234286,[ 1.37899317  2.64865597  2.86830337 -0.35357346]
77,[-1.],2.4278556485130003,[1.84268656 2.67661331 1.78330434 0.68314201]
78,[1.],2.370232005540373,[2.09025431 2.96928266 0.70855417 2.23911725]
79,[-0.91454568],3.399626540605881,[ 2.13139476 -2.75402159 -0.3407997   3.34630264]
80,[1.],5.201392900940142,[ 1.91807203 -1.93347526 -1.85383835  4.9320453 ]
81,[0.96598749],7.073174090675603,[ 1.36573134 -0.71624231 -3.7110927   7.41830138]
82,[1.],9.000142334075282,[ 0.49030117  0.91663396 -4.73491175  8.11992158]
83,[1.],9.273973687310962,[-0.45335582  2.31024915 -4.65673054  5.80464467]
84,[1.],6.8474974640604005,[-1.32301598 -2.98214595 -3.88224054  4.27063899]
85,[1.],3.4194963745437095,[-1.97503977 -2.22655661 -2.65119304  3.31192289]
86,[1.],1.2494944347588872,[-2.4054394  -1.65893599 -1.71412596  2.35698159]
87,[1.],0.4294695094407638,[-2.68082135 -1.2829458  -1.08337119  1.415996  ]
88,[1.],0.1794881875412825,[-2.85288771 -1.08463752 -0.66886179  0.59056951]
89,[-1.],0.11680528184743297,[-2.93701008 -1.09686015 -0.19550349 -0.69837367]
90,[1.],0.15461691633999539,[-2.95981694 -1.30348413 -0.04962158 -1.3629831 ]
91,[1.],0.339110203309202,[-2.96448616 -1.63931814 -0.02101691 -1.98219569]
92,[-1.],0.823140624153527,[-2.96444215 -2.13376528 -0.01959644 -2.91717348]
93,[-0.58349322],1.9375740849265404,[-2.98446482 -2.77903959 -0.16771912 -3.49140405]
94,[-1.],3.535516403542998,[-3.00377334  2.76112379  0.07446547 -3.90681376]
95,[-0.15407047],3.9211398426215616,[-2.92403244  1.96839364  0.76941821 -4.01110541]
96,[-1.],2.562113096352629,[-2.68257805  1.12883914  1.66195116 -4.45356363]
97,[-0.72225524],1.2556705552583485,[-2.25020264  0.15445524  2.69453285 -5.36992842]
98,[0.67559635],0.7577668646755606,[-1.61898148 -0.95871994  3.61961104 -5.62406427]
99,[-1.],1.2246781171601147,[-0.77612584 -2.0721473   4.81883536 -5.33497179]
100,[-0.4120997],3.0847422646746336,[ 0.27093395 -3.05084653  5.42034857 -4.50355035]
101,[-1.],4.113667054458131,[ 1.2788794   2.35488408  4.46851729 -4.34057437]
102,[0.87248317],1.978184447118427,[ 2.02759305  1.54709613  3.06251713 -3.6488837 ]
103,[-0.89652012],0.4241316773617822,[ 2.54804458  0.87471118  2.22011146 -3.07011269]
104,[0.16112695],0.04422827746798123,[ 2.93191513  0.33824344  1.69102517 -2.36017141]
105,[-0.46095628],0.0009093320544935779,[-3.02131299 -0.12726108  1.68681345 -2.40363793]
106,[-0.16290297],5.255166005368358e-05,[-2.65026496 -0.65382048  2.10007863 -2.94897149]
107,[0.34431454],0.017283228516930246,[-2.15838255 -1.31192711  2.89267845 -3.64052759]
108,[-0.69140503],0.24918964561861373,[-1.454413   -2.11828077  4.20860867 -4.32847833]
109,[0.56296996],1.458333007439359,[-0.48131133 -2.98947017  5.39824705 -4.39345674]
110,[0.70400986],3.763924894424817,[ 0.59729318  2.37322737  5.10740071 -4.908117  ]
111,[1.],3.3909681400634555,[ 1.49327747  1.34629247  3.82857643 -5.22983541]
112,[0.21090936],1.260465294727024,[ 2.14911996  0.32471846  2.76109749 -4.85526465]
113,[-0.59380877],0.44644415437247054,[ 2.61912581 -0.60044086  1.97571076 -4.42789967]
114,[0.97336991],0.4904842424103266,[ 2.93553282 -1.42928318  1.22452961 -3.9623203 ]
115,[-0.15848494],1.1786515194723612,[ 3.12395861 -2.23706889  0.66509644 -4.13441195]
116,[-0.84067876],2.663363168019219,[-3.06255304 -3.09691658  0.40066829 -4.45591912]
117,[-0.55388698],3.9819363402064827,[-2.94243093  2.27182835  0.93346455 -4.70273955]
118,[-0.50909006],3.251582751501598,[-2.65991072  1.28994148  1.92810382 -5.20382544]
119,[-0.32957806],1.7246593724444792,[-2.16040823  0.14880383  3.08178684 -6.26045927]
120,[1.],1.0348811139721552,[-1.45636118 -1.11777114  3.93679075 -6.18944693]
121,[0.78626441],1.61522950468502,[-0.57040449 -2.26916024  4.93127427 -5.22989576]
122,[-0.75019179],3.560570464969252,[ 0.47375212  3.0433225   5.24201563 -4.57326201]
123,[-0.6684601],3.8397646825299274,[ 1.4194427   2.1454425   4.08694308 -4.43170385]
124,[1.],1.5352077303741638,[ 2.0965503   1.33104407  2.73731726 -3.61651889]
125,[0.60972482],0.29025713958127464,[ 2.54069307  0.71476293  1.75890173 -2.52805784]
126,[0.68689686],0.032996029546168176,[ 2.81963432  0.31228165  1.0822262  -1.55069274]
127,[1.],0.00264496746201799,[ 2.98727252  0.08151617  0.63392498 -0.81504747]
128,[0.9107722],0.00021120165251570252,[ 3.08639654 -0.03468117  0.38223408 -0.38374865]
129,[1.],3.090430251487131e-05,[-3.13707405 -0.07879693  0.22929164 -0.07569053]
130,[-0.17216242],7.65947491682417e-06,[-3.08469157 -0.1109214   0.30656872 -0.2596135 ]
131,[1.],9.468990689699647e-06,[-3.02513563 -0.14810901  0.30281887 -0.1287029 ]
132,[0.44870964],5.291603719815685e-05,[-2.9506006  -0.18757063  0.45912058 -0.28403203]
133,[-0.96869438],0.00033085640698487406,[-2.81376059 -0.32100598  0.93928625 -1.08703682]
134,[-0.8629715],0.002838830000860508,[-2.56067267 -0.63755647  1.63861608 -2.12531991]
135,[-1.],0.027438364222092695,[-2.13657456 -1.18640817  2.65338735 -3.34613326]
136,[-0.07948502],0.23071996788441598,[-1.48681461 -1.92667737  3.89781431 -3.95631629]
137,[0.34260846],1.2557902675796042,[-0.5739099  -2.71607779  5.15050611 -3.85762139]
138,[1.],3.4253680685977135,[ 0.4853821   2.826511    5.17262306 -3.60028197]
139,[-1.],3.606059924839346,[ 1.4158182   2.08452947  4.02407012 -3.76313968]
140,[1.],1.483582005776552,[ 2.07901578  1.4064598   2.65163664 -2.90295333]
