,action,cost,state
0,[-0.3881344],0.0,[ 0.         -0.0621015   3.14159265  0.15525376]
1,[-0.33501734],0.0,[-6.21015035e-04 -1.15604915e-01  3.14314519e+00  2.89012288e-01]
2,[-0.55757684],-1.452473629985416e-12,[-1.77706419e-03 -2.04540327e-01  3.14603531e+00  5.10969402e-01]
3,[-1.],-9.738913036851152e-11,[-0.00382247 -0.36394663  3.15114501  0.90839056]
4,[-0.27176934],-2.0814807982258068e-09,[-0.00746193 -0.40626339  3.16022891  1.01183256]
5,[-0.3773191],-3.015362751113091e-08,[-0.01152457 -0.46482864  3.17034724  1.15364532]
6,[-0.42721909],-1.7087711809863527e-07,[-0.01617285 -0.53062222  3.18188369  1.31100299]
7,[-0.34535554],-6.585787391968681e-07,[-0.02147908 -0.58244213  3.19499372  1.43055886]
8,[-0.52778097],-2.0316437644312923e-06,[-0.0273035  -0.6624159   3.20929931  1.61710454]
9,[-0.39424107],-5.248013945857447e-06,[-0.03392766 -0.7198751   3.22547036  1.74381413]
10,[-0.35216525],-1.2353860197995543e-05,[-0.04112641 -0.7693311   3.2429085   1.84645162]
11,[-0.35944322],-2.6277964165896295e-05,[-0.04881972 -0.8185526   3.26137301  1.94404384]
12,[-0.3533161],-5.128618302122254e-05,[-0.05700524 -0.86529901  3.28081345  2.03073668]
13,[-0.37320338],-9.348644169968607e-05,[-0.06565823 -0.91359822  3.30112082  2.11624801]
14,[-0.39876329],-0.00016093287404862959,[-0.07479422 -0.96422395  3.3222833   2.20220699]
15,[-0.39048134],-0.0002644098787791409,[-0.08443646 -1.01172991  3.34430537  2.27491981]
16,[-0.39636513],-0.00041798581926083745,[-0.09455376 -1.05827762  3.36705457  2.33948048]
17,[-0.4085282],-0.0006380981181080509,[-0.10513653 -1.10477932  3.39044937  2.39790931]
18,[-0.42446371],-0.0009444838202940845,[-0.11618432 -1.15175259  3.41442847  2.45125923]
19,[-0.43448709],-0.0013603176789292386,[-0.12770185 -1.19822758  3.43894106  2.49699573]
20,[-0.45622917],-0.001912319975863732,[-0.13968413 -1.24595926  3.46391101  2.53916032]
21,[-0.47870569],-0.0026297771626866027,[-0.15214372 -1.29500179  3.48930262  2.57768669]
