,action,cost,state
0,[0.54407074],0.00029601297398622556,[0.00408053 0.08161061]
1,[0.08365443],0.0006896779841586864,[0.00894149 0.09721916]
2,[-1.51753971],0.0033280335829093902,[ 0.0027562  -0.12370576]
3,[0.95769809],0.002455093873360203,[0.00385701 0.0220161 ]
4,[0.41841628],0.0002384195254057861,[0.00824057 0.08767129]
5,[-0.27805328],0.0009138460476258938,[0.01084775 0.05214365]
6,[0.87359286],0.0011527342572143651,[0.02041366 0.19131824]
7,[-0.73036051],0.004610410879304405,[0.02526733 0.09707334]
8,[0.15176273],0.0016037933517143567,[0.03220664 0.13878623]
9,[0.19678733],0.0030021549904978204,[0.0418294  0.19245514]
10,[-0.37255849],0.005592396644399085,[0.05022611 0.16793427]
11,[-0.22690743],0.0053943413151735795,[0.05880371 0.1715519 ]
12,[0.31205572],0.006498260443642172,[0.07192559 0.26243763]
13,[-0.41235215],0.012230675732965369,[0.08464972 0.2544825 ]
14,[-0.31390623],0.013740245668118637,[0.09819012 0.27080806]
15,[-1.27749797],0.018607000820207602,[0.1058255  0.15270767]
16,[-1.23051583],0.015045169381933668,[0.10819307 0.04735137]
17,[-1.16802063],0.013294227750363399,[ 0.10584981 -0.04686514]
18,[-1.30901366],0.013137333792967177,[ 0.09765091 -0.163978  ]
19,[0.34857432],0.012346083154582398,[ 0.09572241 -0.03857   ]
20,[-0.73267056],0.00984835099372034,[ 0.09188299 -0.07678836]
21,[-0.22853354],0.009084357565020372,[ 0.08977034 -0.04225307]
22,[-0.6539522],0.008664899822046056,[ 0.08611491 -0.07310854]
23,[-1.60170869],0.010515735014969163,[ 0.07367199 -0.24885845]
24,[0.14799799],0.011642518703703643,[ 0.06509926 -0.17145473]
25,[-0.45924273],0.007388489311469588,[ 0.0555217  -0.19155118]
26,[0.16706174],0.006779753680624718,[ 0.04927809 -0.12487203]
27,[-0.70728368],0.004487883281748823,[ 0.03957705 -0.19402097]
28,[0.65723517],0.005762714351141132,[ 0.03628901 -0.06576066]
29,[0.63581502],0.0021535996389761207,[0.03913013 0.05682238]
30,[0.37602265],0.0019954385854152046,[0.04625843 0.14256589]
31,[-0.95411167],0.005082674419773805,[0.04796496 0.03413059]
32,[0.26286872],0.00248622666875169,[0.053441   0.10952082]
33,[-1.38251153],0.00596675928510113,[ 0.05055129 -0.05779424]
34,[-1.63785704],0.0055720255217760785,[ 0.03727251 -0.26557548]
35,[-0.0340939],0.008443435869584284,[ 0.02513543 -0.24274165]
36,[0.9357199],0.007399712419917966,[ 0.02095872 -0.08353408]
37,[-0.03834572],0.0011385327792919277,[ 0.01728032 -0.07356805]
38,[0.42794886],0.0010229755025114408,[0.01745952 0.00358388]
39,[0.68587945],0.000776549756750053,[0.02343751 0.11955977]
40,[0.5481665],0.002279257034238469,[0.03440557 0.21936127]
41,[-0.61148712],0.006369596114530856,[0.04207743 0.15343728]
42,[-0.59686511],0.004481058274177143,[0.04685025 0.09545628]
43,[-1.09098037],0.004296373889532138,[ 0.04519695 -0.03306594]
44,[-0.27483051],0.0022276317020034665,[ 0.04317673 -0.04040435]
45,[1.02725208],0.003082728158040441,[0.05047953 0.14605595]
46,[-0.93337471],0.0055526053770729306,[0.0526742  0.04389332]
47,[0.06213448],0.002971093866949154,[0.05730924 0.09270087]
48,[-0.30812013],0.004238631947640688,[0.0617813  0.08944125]
49,[-0.27078207],0.004690225926099508,[0.06653782 0.09513045]
50,[0.03301317],0.005333352107143734,[0.07403527 0.14994898]
51,[0.02949909],0.007730561424435875,[0.08452775 0.20984958]
52,[-0.64450661],0.01196401443041943,[0.09335245 0.17649394]
53,[-0.59359267],0.01218204312199038,[0.10122084 0.15736773]
54,[-0.57642762],0.013054386548190506,[0.10855532 0.14668965]
55,[-1.05485776],0.015048767126463875,[0.1120412  0.06971766]
56,[-0.5991146],0.013398224127556693,[0.11522648 0.06370567]
57,[-0.49027218],0.013923350682653431,[0.11904616 0.0763936 ]
58,[-2.],0.018755587355923434,[ 0.11231954 -0.13453252]
59,[-1.4535526],0.016538393668169758,[ 0.0988944  -0.26850277]
60,[0.99531428],0.017980126428673096,[ 0.09663662 -0.04515567]
61,[-0.30720476],0.009636913808645514,[ 0.09569303 -0.01887167]
62,[-0.9701306],0.010133923905860646,[ 0.09105648 -0.09273097]
63,[-0.83729718],0.009852253194637688,[ 0.08355011 -0.15012752]
64,[1.62023938],0.011859623403061669,[0.09132501 0.15549809]
65,[-0.88474784],0.011541002413922575,[0.09588424 0.09118451]
66,[-0.41311735],0.010195914535787304,[0.10093524 0.10101994]
67,[-0.31177655],0.011305629211810846,[0.10742656 0.12982641]
68,[-1.05187484],0.014332395248827947,[0.11004957 0.05246022]
69,[-0.25641406],0.012451862841139251,[0.11486801 0.09636879]
70,[-0.18671934],0.014158217340060973,[0.12258413 0.15432256]
71,[-1.41417961],0.019408319295964958,[0.12427932 0.03390364]
72,[-1.51888589],0.017867308452911432,[ 0.11923134 -0.10095952]
73,[0.48537324],0.015470982129255989,[0.12228425 0.06105825]
